funder,works count
U.S. Department of Education,3
New York State Energy Research and Development Authority,3
NSF (National Science Foundation),3
Biological and Environmental Research,3
Amgen,3
Slovenian Research Agency,3
National Eye Institute,3
Genome British Columbia,3
Microsoft,3
Bill & Melinda Gates Foundation,3
European Space Agency,3
Institut de Recherche pour le Développement,3
Arba Minch University,3
Natural Science Foundation of Hunan Province,2
European Commission (EC),2
University of Washington Royalty Research Fund,2
The Insight Centre for Data Analytics,2
DH ,2
"Canada Excellence Research Chairs, Government of Canada",2
2017 Open Foundation,2
Guangxi Cognitive Radio and Information Processing Key Laboratory Authorized by China’s Ministry of Education Foundation,2
National Infrastructure Project,2
Shandong Provincial Scientific Research Programs in Colleges and Universities,2
Guangxi Provincial Education Department Foundation,2
Guangxi Broadband Wireless Communication and Signal Processing Key Laboratory Foundation,2
Open Research Fund from the Shandong Provincial Key Laboratory of Computer Network,2
Universität Zürich,2
"Fundamental Research Funds for the Central Universities, CHD",2
H2020 LEIT Information and Communication Technologies,2
iMinds,2
University of Rijeka,2
National Key Research Program of China,2
Fondo Nacional de Desarrollo Científico y Tecnológico,2
Rey Juan Carlos University,2
Ministry of Education of China,2
Directorate for Computer and Information Science and Engineering,2
Ministry of Science and Technology of the People’s Republic of China,2
Overseas Returnees Innovation and Entrepreneurship Support Program of Chongqing,2
University of Birmingham,2
Ministry of Higher Education,2
University of Michigan,2
Canadian Cancer Genome Collaboratory,2
National Grand Fundamental Research 973 Program of China,2
EU Framework Programme for Research and Innovation H2020 ,2
H2020 Priority Excellent Science ,2
H2020 Marie Skłodowska-Curie Actions (H2020 Excellent Science - Marie Skłodowska-Curie Actions),2
Netherlands Organisation for Health Research and Development,2
Canadian Institute of Health Research,2
State Grid Corporation of China,2
Health Research Services Administration,2
the National Natural Science Foundation of Shaanxi Province,2
Program for Science and Technology Innovation Talents in the Universities of Henan Province,2
Key Research Project of Shaanxi Province,2
International S&T Cooperation Program of Shaanxi Province,2
Science and Technology Projects of Shenzhen,2
National Natural Science Foundation of Shaanxi Province,2
Ministry of Science ICT and Future Planning,2
International Science and Technology Cooperation and Exchange of Sichuan Province,2
