funder,works count
CONACYT – UC MEXUS,1
"University of California, Los Angeles",1
Major scientific and technological projects in Yunnan Province,1
Yunnan Applied Basic Research Projects,1
Yunnan Young Top Talents of Ten Thousands Plan,1
Key Project of Technology Innovation and Application Development of Chongqing,1
Deanship of Scientific Research at Prince Sattam Bin Abdulaziz University,1
National Key Research and Development Project,1
Overseas Returnees Innovation and Entrepreneurship Support Program of Chongqing,1
"Ministry of Education, Culture, Sports, Science, and Technology",1
Japan Agency for Medical Research and Development,1
Smart Technologies,1
AITF,1
SurfNet,1
Bulgarian National Science Fund,1
University of Birmingham,1
"Sandwell and West Birmingham, “Sandwell Medication Education Centre Trustee” grant for junior doctors",1
Federal Ministry of Education andResearch of Germany (BMBF),1
Netherlands Code of Conduct for Research Integrity,1
Division of Undergraduate Education,1
Health Research Authority,1
Young Scientists Fund of the National Natural Science Foundation of China,1
Ministry of Higher Education,1
Michigan Technological University,1
National Endowment for the Humanities,1
Innovation and Entrepreneurship Demonstration Team of Yingcai Program of Chongqing,1
Regional Council of Burgundy and Dijon University Hospital,1
AOI,1
Université de Bordeaux,1
European Commission,1
National Institute on Drug Abuse,1
Agence Universitaire de la Francophonie,1
Inter-university Consortium for Political and Social Research,1
Tistou and Charlotte Kerstan Foundation,1
Hong Kong RGC Project,1
Basic Research Program of Shenzhen,1
Russian Science Foundation,1
National Grand Fundamental Research 973 Program of China,1
NSFC Guang Dong,1
University of Macau,1
EC ,1
EU Framework Programme for Research and Innovation H2020 ,1
H2020 Priority Excellent Science ,1
H2020 Marie Skłodowska-Curie Actions (H2020 Excellent Science - Marie Skłodowska-Curie Actions),1
Grant,1
Xinjiang,1
Beijing Philosophy and Social Science Foundation,1
Dutch Research Council,1
"Ministry of Education, Science and Technological Development of the Republic of Serbia",1
Harvard University,1
Harvard’s Institute for Quantitative Social Science,1
"Spatiotemporal Thinking, Computing, and Applications Center (STC)",1
"U.S. National Endowment for the Humanities, Digital Humanities Implementation",1
U.S. National Science Foundation Industry-University Cooperative Research Centers Program (IUCRC),1
Youth Innovation Promotion Association,1
Wonkwang University,1
the Ministry of Science and ICT,1
Science Without Borders program,1
NIDDK NIH HHS,1
NIA NIH HHS,1
Natural Science Function of Qinghai Province,1
Netherlands Organisation for Health Research and Development,1
General University Hospital,1
COMMIT,1
European Defense Agency,1
Eurocontrol,1
ITEA2,1
Hong Kong GRF,1
"Intel Labs, US NSF",1
EPSCoR Cooperative agreement,1
KatuMetro research program,1
UK Engineering and Physical Sciences Research Council,1
European Commission under H2020-EU.3.1.5.1.,1
Central Election Commission of Taiwan (ROC),1
Science and Technology Planning Project of Sichuan Province,1
Canadian Institute of Health Research,1
NationalNatural Science Foundation of China,1
Tianjin Natural Science Foundation,1
National Human Genome Research Institute,1
"Center for Hierarchical Manufacturing, National Science Foundation",1
Exxon Mobil Corporation,1
"Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)’s Global Network for Women and Children’s Health Research, USA",1
National Research Center on Child and Maternal Health Dr. Hugo Mendoza (CENISMI).,1
ESRC Consumer Data Research Centre,1
111 Project,1
Southwest University for Nationalities,1
Key Fund Project of Sichuan Provincial Department of Education,1
Laboratory for Internet of Things and Mobile Internet Technology of Jiangsu Province,1
National Science Foundation (NSF),1
Health Research Services Administration,1
Programs of International Science and Technology Cooperation and Exchange of Sichuan Province,1
the China Postdoctoral Science Foundation Funded Project,1
the National Natural Science Foundation of Shaanxi Province,1
the AXA Research Fund,1
the Singapore National Research Foundation under the NCR Award,1
Key Research and Development Program of Jiangxi Province,1
Hong Kong Scholar Program,1
Office of Naval Research Global,1
National Security Agency,1
the National Social Science Fund of China,1
"the Graduates' Inovation Found, Huazhong University of Science and Technology",1
"the Fundamental Research Funds for the Central Universities, HUST",1
Purdue Research Foundation,1
The State Key Program of National Natural Science Foundation of China,1
The National Natural Science Foundation of China,1
Seoul National University,1
Österreichische Forschungsförderungsgesellschaft,1
European Union,1
"National Library of Medicine, National Institutes of Health",1
Johannes Kepler University Linz,1
Conselho Nacional de Desenvolvimento Científico e Tecnológico,1
Fujian Province Outstanding Young Scientific Researcher Training Project,1
Scientific Research Startup Foundation of Fujian University of Technology,1
Plan For Scientific Innovation Talent of Henan Province,1
Program for Science and Technology Innovation Talents in the Universities of Henan Province,1
International S&T Cooperation Program of Shaanxi Province,1
MEOPAR NCE,1
National Key Technologies R and D Programs of China,1
FP7 Ideas: European Research Council,1
Science and Technology Projects of Shenzhen,1
National High-Technology Research and Development Program (“863” Program) of China,1
Academy of Finland,1
Newcastle University,1
National Foundation for Science and Technology Development of Vietnam,1
University of San Diego,1
National Natural Science Foundation of Shaanxi Province,1
Peoples Republic of China Ministry of Education Distinguished Possessor,1
Science Foundation Ireland (SFI),1
Hunan Provincial Natural Science Fund for Distinguished Young Scholars,1
Preliminary Research Funding of NUDT,1
Ministry of Science ICT and Future Planning,1
Ministry of Health and Welfare,1
Special Fund for Key Program of Science and Technology of Anhui Province China,1
Open Fund of Key Laboratory of Embedded System and Service Computing Tongji University Ministry of Education,1
State Key Laboratory of High Performance Computing Project Fund,1
National University of Defense Technology,1
Shandong Province Higher Education Science and Technology Program,1
Research Fund KU Leuven,1
imec-ICON BoSS project,1
Tauno Tönning Foundation,1
Finnish Foundation for Technology Promotion,1
National Key Project in Cyber Security,1
Key Research and Development Projects of High and New Technology Development and Industrialization of Sichuan Province,1
Sichuan Province,1
Belgian Federal Science Policy Office,1
Charité - Universitätsmedizin Berlin,1
La Caixa,1
Shenzhen Fundamental Research Program,1
Guangdong Provincial Key Research and Development Plan Project,1
Guangdong Provincial Science and Technology Plan Project,1
"Department of Science and Technology, Hubei Provincial People's Government",1
